Time;CPI
30/04/2017;544.8
31/03/2017;543.1
28/02/2017;542.4
31/01/2017;541.2
31/12/2016;537.8
30/11/2016;535.7
31/10/2016;533.3
30/09/2016;531
31/08/2016;530.1
31/07/2016;530.1
30/06/2016;527.2
31/05/2016;525.3
30/04/2016;523.2
31/03/2016;520.9
29/02/2016;518.5
31/01/2016;515.2
31/12/2015;510.3
30/11/2015;506.4
31/10/2015;502.7
30/09/2015;499
31/08/2015;496.1
31/07/2015;494.4
30/06/2015;490.5
31/05/2015;489.5
30/04/2015;487.8
31/03/2015;485.6
28/02/2015;479.8
31/01/2015;469.4
31/12/2014;452
30/11/2014;440.5
31/10/2014;434.9
30/09/2014;431.4
31/08/2014;428.6
31/07/2014;427.5
30/06/2014;425.5
31/05/2014;422.8
30/04/2014;419.1
31/03/2014;415.3
28/02/2014;411.2
31/01/2014;408.3
31/12/2013;405.9
30/11/2013;403.9
31/10/2013;401.6
30/09/2013;399.3
31/08/2013;398.5
31/07/2013;397.9
30/06/2013;394.7
31/05/2013;393
30/04/2013;390.4
31/03/2013;388.5
28/02/2013;387.1
31/01/2013;384.9
31/12/2012;381.2
30/11/2012;379.2
31/10/2012;377.9
30/09/2012;376.2
31/08/2012;374.1
31/07/2012;373.8
30/06/2012;369.2
31/05/2012;366
30/04/2012;364.1
31/03/2012;363
29/02/2012;360.9
31/01/2012;359.5
31/12/2011;357.8
30/11/2011;356.2
31/10/2011;354.7
30/09/2011;353
31/08/2011;353.2
31/07/2011;354
30/06/2011;354
31/05/2011;353.2
30/04/2011;351.5
31/03/2011;350
28/02/2011;347.9
31/01/2011;345.2
31/12/2010;337.2
30/11/2010;333.6
31/10/2010;330.9
30/09/2010;329.3
31/08/2010;326.6
31/07/2010;324.8
30/06/2010;323.6
31/05/2010;322.3
30/04/2010;320.7
31/03/2010;319.8
28/02/2010;317.7
31/01/2010;315.1
31/12/2009;310
30/11/2009;308.7
31/10/2009;307.8
30/09/2009;307.8
31/08/2009;307.9
31/07/2009;307.9
30/06/2009;306
31/05/2009;304.2
30/04/2009;302.4
31/03/2009;300.3
28/02/2009;296.5
31/01/2009;291.7