Time;ALL_Sec;ALL_Prim;Comf_Sec;Comf_Prim;Low_Sec;Eco_Sec;Eco_Prim;Bus_Sec;Bus_Prim
31/03/2000;15034.81;16023.8;18022.42;13895.13;10627.46;14586.35;12414.47;31232.5;25962.6
30/06/2000;14765.3;15714.96;17089.65;13208.61;10696.57;14671.53;12062.1;30625.36;26757.75
30/09/2000;14812.68;16040.24;17163.02;13674.53;10696.57;14720.86;12516.87;30625.36;26546.38
31/12/2000;15413.99;16280.73;18106.46;13826.59;10711.58;15330.74;12910.76;30625.36;26864.04
31/03/2001;17898.87;19962.88;20703.56;18349.8;10979.03;15470.27;15983.31;36306.24;30561.78
30/06/2001;18291.06;20472.9;20985.9;18459.45;11114.69;16066.61;16093.01;36306.24;32890.74
30/09/2001;19048.74;21226.56;22026.52;19744.87;11114.69;17000.38;16101.2;36306.24;32993.55
31/12/2001;20328.87;21905.66;23764.51;20656.26;11114.69;18590.14;16488.81;36306.24;33341.08
31/03/2002;21637.29;21433.15;24167.72;20994.56;11097.2;19403.79;17768.39;35627.97;39682
30/06/2002;24236.85;23001.69;26085.44;22837.01;15185.2;22534.08;19291.74;35755.6;39916.51
30/09/2002;25772.52;23833.47;27908.66;23996.55;15185.2;24029.57;19857.16;35755.6;40067.28
31/12/2002;26809.76;24331.25;28910.48;24582.67;15215.2;25168.14;19979.95;35755.6;41688.73
31/03/2003;30743.86;30049.04;32022.72;28491.14;21083.23;29364.52;21714.82;51058.58;46804.82
30/06/2003;31803.65;31259.34;32960.97;29716.73;21936.25;30579.85;22563.67;51229.12;48476.73
30/09/2003;33439.21;33507.05;33883.79;30279.09;25154.82;32291.3;23627.43;55820.08;57788.53
31/12/2003;34680.87;35363.56;34377.71;31092.1;25455.65;34080.26;26868.52;56867.18;61027.74
31/03/2004;39681.11;43141.82;42867.66;39639.9;32935.24;39112.79;31221.04;80551.99;69321.44
30/06/2004;41008.36;44695.01;43653.04;40858.26;33355.2;41044.64;32958.12;80551.99;71671.2
30/09/2004;41369.17;46060.53;43799.91;42360.05;33397.6;41605.41;33284.77;81924.27;73955.38
31/12/2004;42132.08;47057.56;44166.43;43639.71;34247.25;42575.49;33695.44;82480.08;74835.87
31/03/2005;47926.24;54945.74;49083.62;43849.85;39333.51;46171.65;36324.54;90474.37;83287.01
30/06/2005;48492.01;56171.98;49942.31;44564.48;40154.65;46515.53;36454.61;91542.02;85985.56
30/09/2005;50039.61;57007.1;51210.34;45302.98;41145.56;48318.63;37162.12;92882.08;87043.42
31/12/2005;52444.29;58397.88;54348.04;46346.37;42550.11;50746.88;38803.91;92882.08;88740.4
31/03/2006;65688.59;64581.07;71757.83;56001.76;57914.49;64161.63;44071.7;118376.34;98253.36
30/06/2006;75901.62;74163.22;82911.79;64974.8;65514.25;74207.92;55475.4;153284.31;108219.84
30/09/2006;93557.63;84963.95;105633.65;72824.21;87526.68;88535.93;64374.34;203904.09;127449.47
31/12/2006;101334.29;88590.38;112303.03;76634.2;95865.25;96278.31;67533.72;239410.13;130909.92
31/03/2007;123351.92;105776.3;121225.86;89422.9;99566.14;101795.13;70594.7;221267.13;161896.66
30/06/2007;123291.78;106976.91;123244.32;90338.72;97922.98;100142.51;70295.2;224578.95;164545.76
30/09/2007;124875.49;109556.64;122873.47;92879.15;99011.68;101435.19;70996.19;230829.1;168212.96
31/12/2007;127874.4;113501.05;127934.74;95121.71;102903.59;;72416.89;231808.17;177393.7
31/03/2008;137276.52;117246.09;133842.5;95945.01;114737.09;116978.12;84516.31;224788.62;184056.19
30/06/2008;145779.88;123213.72;145330.59;102056.59;118680.64;122727.87;91016.35;240026.28;189411.75
30/09/2008;157078.02;129688.36;154892.4;104004.26;131001.71;131058.57;97663.88;263163.26;206407.37
31/12/2008;155271.05;127245.94;155922.2;105237.74;127372.68;129993.63;95700.8;255203.22;195102.19
31/03/2009;169954.83;135227.46;164411.06;115244.04;136219.17;139402.36;103475.64;289751.26;219538.12
30/06/2009;163062.5;132510.45;159783.56;112930.17;133140.93;131583.04;99493.92;276635.7;216851
30/09/2009;160991.97;128982.42;158870.06;110916.7;132148.1;128697.25;95709.26;272919.56;209352.11
31/12/2009;158915.15;131218.11;154024.02;114021.5;132032.92;127598.3;96077.11;274082.96;210872.09
31/03/2010;164660.1;141233.08;155371.79;113679.48;125792.31;131062.86;98409.83;286692.55;246692.32
30/06/2010;166927.15;142803.38;157623.15;114275.78;125792.31;133038.55;103465.42;291281.2;246692.32
30/09/2010;167529.1;143887.71;158360.29;118042.91;125887.14;135209.85;101680.91;288542.49;244967.99
31/12/2010;170130.98;144341.59;162652.11;118579.53;126060.01;136553.75;101360;291884.46;246062.61
31/03/2011;162419.89;125954.47;161135.58;136805.81;115840.8;136279.9;98815.91;267394.18;223300.48
30/06/2011;163426.85;126535.69;162276.92;137746.84;117336.57;138362.73;98740.88;263880.62;223402.5
30/09/2011;162952.13;128044.73;159766.84;138785.99;120361.71;142806.85;101544.44;259988.18;218880.1
31/12/2011;163202.77;129523.52;158601.11;142783.89;121381.45;144925.98;98676.87;263334.32;213225.04
31/03/2012;166679.88;127344.75;163385.48;145251.92;127428.92;151331.93;106027.37;244431.52;190408.48
30/06/2012;168869.88;130983.31;165088.49;146313.66;129339.07;156099.89;112556.82;242458.02;190408.48
30/09/2012;172260.14;130532.46;171012.72;146443.1;129284.72;156056.44;111466.91;237682.54;190408.48
31/12/2012;176319.51;129965.62;176285.83;144372.59;130072.07;157663.89;112499.58;240542.49;190408.48
31/03/2013;182005.09;140689.08;176721.07;149481.76;127221.08;163137.88;119724.31;248070.52;207748.66
30/06/2013;183240.08;143490.27;177068.54;148832.37;127221.08;162490.19;125075.65;257412.5;218574.44
30/09/2013;178971.23;149956.09;169066.89;157907.79;127221.08;160455.77;128214.07;266781.71;227432.53
31/12/2013;177899.02;151517.17;167270.01;157389.6;127221.08;159415.28;130752.63;269130.99;237211.78
31/03/2014;179146.33;166946.33;168454.77;159387.18;121507.47;157443.97;133846.41;267772.04;246792.55
30/06/2014;183080.73;170069.81;170496.94;162337.87;119684.27;163529.48;136537.9;276339.5;251304.21
30/09/2014;184573.86;170073.12;172029.68;160315.2;114150.9;164355.74;135724.58;279118.22;261864.01
31/12/2014;191267.84;174538.14;178242.69;162857.49;114150.9;168095.99;141470.97;293539.3;273579.18
31/03/2015;188118.41;173715.83;180015.45;155174.14;91817.42;166407.03;122772.96;310265;297100.03
30/06/2015;192986.91;172923.74;185017.8;150713.3;91817.42;169846.84;125327.87;318911.32;300838.57
30/09/2015;192291.8;175056.84;186481.29;152707.16;91817.42;161950.6;127814.66;326768.56;302807.95
31/12/2015;187743.3;182292.43;179389.04;160028.03;91817.42;160211.35;132354.01;329355.8;313815.69
31/03/2016;181257.34;159613.38;181835.26;146649.76;;151551.54;117342.52;334118.15;281434.58
30/06/2016;183086.56;153496.24;183010.75;141715.91;;152726.52;110663.75;346004.75;273500.46
30/09/2016;181564.78;157276.97;181555.77;146828.57;;150083.62;106182.62;349800.48;291293.58
31/12/2016;180936.97;155032.99;179369.63;143132.38;;152317.45;105926.34;349532.6;288546.86
31/03/2017;179414.19;156029.07;183096.49;148935.03;;152282.96;99716.03;337229.36;313350.3